INFO 2025-08-03 15:14:45,437 autoreload 3216 14028 Watching for file changes with StatReloader
INFO 2025-08-03 16:33:44,545 basehttp 15492 1444 "GET /api/customers/ HTTP/1.1" 200 1325
INFO 2025-08-03 16:33:44,558 basehttp 15492 1444 "OPTIONS /api/sales/ HTTP/1.1" 200 0
INFO 2025-08-03 16:33:44,583 basehttp 15492 14312 "GET /api/products/ HTTP/1.1" 200 916
WARNING 2025-08-03 16:33:44,593 log 15492 14312 Unauthorized: /api/users/
WARNING 2025-08-03 16:33:44,596 basehttp 15492 14312 "GET /api/users/ HTTP/1.1" 401 58
INFO 2025-08-03 16:33:44,655 basehttp 15492 14312 "GET /api/customers/ HTTP/1.1" 200 1325
INFO 2025-08-03 16:33:44,657 basehttp 15492 1444 "GET /api/sales/ HTTP/1.1" 200 4666
INFO 2025-08-03 16:33:44,679 basehttp 15492 1444 "OPTIONS /api/notifications/ HTTP/1.1" 200 0
INFO 2025-08-03 16:33:44,690 basehttp 15492 1444 "GET /api/notifications/ HTTP/1.1" 200 2
INFO 2025-08-03 16:33:44,699 basehttp 15492 1444 "OPTIONS /api/audit-logs/ HTTP/1.1" 200 0
WARNING 2025-08-03 16:33:44,705 log 15492 1444 Unauthorized: /api/audit-logs/
WARNING 2025-08-03 16:33:44,708 basehttp 15492 1444 "GET /api/audit-logs/ HTTP/1.1" 401 58
INFO 2025-08-03 16:33:44,757 basehttp 15492 14312 "GET /api/sales/ HTTP/1.1" 200 4666
INFO 2025-08-03 16:33:44,771 basehttp 15492 14312 "GET /api/notifications/ HTTP/1.1" 200 2
WARNING 2025-08-03 16:33:44,779 log 15492 14312 Unauthorized: /api/audit-logs/
WARNING 2025-08-03 16:33:44,779 basehttp 15492 14312 "GET /api/audit-logs/ HTTP/1.1" 401 58
INFO 2025-08-03 16:35:49,951 basehttp 15492 8168 "OPTIONS /api/admin/login/ HTTP/1.1" 200 0
WARNING 2025-08-03 16:35:51,052 log 15492 8168 Unauthorized: /api/admin/login/
WARNING 2025-08-03 16:35:51,052 basehttp 15492 8168 "POST /api/admin/login/ HTTP/1.1" 401 31
WARNING 2025-08-03 16:36:03,081 log 15492 8168 Unauthorized: /api/admin/login/
WARNING 2025-08-03 16:36:03,081 basehttp 15492 8168 "POST /api/admin/login/ HTTP/1.1" 401 31
INFO 2025-08-03 16:39:46,554 autoreload 14128 9568 Watching for file changes with StatReloader
INFO 2025-08-03 16:41:29,654 autoreload 15608 10528 Watching for file changes with StatReloader
WARNING 2025-08-03 16:42:34,264 log 15492 8332 Unauthorized: /api/admin/login/
WARNING 2025-08-03 16:42:34,264 basehttp 15492 8332 "POST /api/admin/login/ HTTP/1.1" 401 31
INFO 2025-08-03 16:43:31,247 basehttp 15492 8332 "OPTIONS /api/admin/register/ HTTP/1.1" 200 0
INFO 2025-08-03 16:43:32,240 basehttp 15492 8332 "POST /api/admin/register/ HTTP/1.1" 200 52
